Ekspresi,Gendre,Artist,Lagu,Tahun
Bersemangat,Pop,Tv girl,lover rock,2014
Bersemangat,Rap,Eminem,Godzilla,2020
Sedih,Pop,JKT48,Aitikata,2018
Bersemangat,Rock,the sigit,all the time,2006
Netral,Indie,Idfitaf,Takut,2021
Bersemangat,Pop,Sheila on7,Anugerah Terindah Yang Pernah Kumiliki,1999
Bersemangat,Pop,Efek Rumah Kaca,Balerina,2008
Sedih,Pop,Budi doremi,Mesin waktu,2021
Bersemangat,Kpop,BTS,Permission to Dance,2021
Sedih,Pop Punk,Neckdeep,December,2015
Bersemangat,Rock,A7X,M.I.A,2005
Netral,Rock,M. Shadow,Seize The Day,2005
Sedih,Classical,Korek Kayu,Seorang Anak Lelaki,2017
Netral,Pop,Vedo,You Got It,2020
Bersemangat,Metal,Bring Me The Horizon,Drown,2015
Bersemangat,Dangdut Jawa,Deny caknan,Sanes,2023
Bersemangat,Reggae,Santana,Corazon Espinado,1999
Bersemangat,Pop Punk,Morferm,Rayakan Pemenang,2014
Netral,Pop,Tiara andini,Cintanya aku,2021
Netral,Indie,Nadin Amizah,Rayuan Perempuan Gila,2023
Netral,Pop,Ghea indrawari,Jiwa yang bersedih,2023
Bersemangat,Pop,Coldplay,Up&Up,2015
Bersemangat,Rock,Muse,Hysteria,2004
Bahagia,R&B,Taylor swift,Paper Rings,2019
Netral,Pop,Putri Ariani,Tak mau lupa,2022
Netral,Pop,Tulus,Gajah,2014
Netral,Pop,Feby Putri,Rantau,2022
Bersemangat,Pop Punk,Neck Deep,Motion Sickness,2017
Bersemangat,Jazz,michael buble,Me and Mrs. Jones,2007
Netral,Pop,EXO,Growl,2013
Bersemangat,R&B,Loreen,Tattoo,2023
Bahagia,Classical,Mahalini,Sial,2023
Sedih,Ballad,Moon Taeil,Because Of You,2004
Bahagia,Pop,Nadhif Basalamah,Penjaga hati,2023
Sedih,psychedelic rock,Pink Floyd,the great gig in the sky,1973
Sedih,R&B,Yura yunita,Cinta dan rahasia,2014
Netral,Koplo,Happy Asmara,Nemen,2023
Sedih,Pop,Misellia,Akhir Tak Bahagia,2021
Bersemangat,Pop,Taylor Swift,Style,2014
Sedih,Pop,Olivia Rodrigo,Happier,2021
Bahagia,Pop,Demi Lovato,Heart Attack,2013
Bersemangat,Pop,Wali,Nenekku Pahlawanku,2011
Bahagia,Pop,Nadin Amizah,Sorai,2019
Bahagia,Pop,sleep shelter,when you come around,2022
Netral,Pop,Tulus,Hati-hati di jalan,2022
Sedih,Pop,The Adams,Timur,2019
Marah,70' punk,dongker,luka di pelupuk mata,2023
Bahagia,Pop,Grrrl Gang,Love Song,2021
Netral,Pop Punk,stand here alone,indah tak sempurna,2016
Bersemangat,rock,morfem,roman underground,2016
Marah,Rock,Linkin Park,Bleed It Out,2007
Bersemangat,Pop,Linkin Park,Lost,2023
Sedih,Pop,Nadin Hamzah,Sorai,2019
Sedih,Indie,Nadin Amizah,Semua Aku Dirayakan,2023
Bersemangat,Pop,hindi,cincin,2023
Bersemangat,Rap,Justin Bieber,Snooze,2022
Bersemangat,Rock,the panturas,all i want,2021
Netral,Indie,Sal priadi,Irama laot teduh,2020
Bersemangat,Pop,Taylor Swift,Don't Blame Me,2017
Bersemangat,Pop,Nadhif Basalamah,Penjaga hati,2023
Sedih,Pop,Raisa,Tentang dirimu,2021
Bersemangat,Kpop,BTS,Dynamite,2020
Sedih,Pop Punk,For revenge,Serana,2020
Bersemangat,Rock,A7x,Little peace of heaven,2007
Netral,Rock,Chester Bennington,In The End,2017
Sedih,Classical,Mr. Sonjaya,Langgam Suminem,2015
Netral,Pop,Joshua Bassett,Smoke Slow,2022
Bersemangat,Metal,Avenged Sevenfold,Bat Country,2005
Bersemangat,Dangdut Jawa,Gilga,Nemen,2023
Bersemangat,Reggae,Souljah,Ku ingin kau mati saja,2007
Bersemangat,Pop Punk,Sore,sttttttttt,2013
Netral,Pop,Noah,Topeng,2021
Netral,Indie,Hindia,Si Lemah,2020
Netral,Pop,Yura yunita,Jalan pulang,2023
Bersemangat,Pop,One Direction,Drag me Down,2015
Bersemangat,Rock,A7X,So Far Away,2010
Bahagia,R&B,Taylor swift,Cruel Summer,2019
Netral,Pop,Tulus,Monokrom,2016
Netral,Pop,Hindia,Evakuasi,2019
Netral,Pop,Nadin Amizah,Bertaut,2020
Bersemangat,Pop Punk,blink 182,i miss you,2003
Bersemangat,Jazz,Danilla Riyadi,Ring,2019
Netral,Pop,BTS,Dynamite,2020
Bersemangat,R&B,Harvy,Personal,2017
Bahagia,Classical,Anggi marito,Tak segampang itu,2022
Sedih,Ballad,Cho Kyuhyun,At Gwanghwamun,2014
Bahagia,Pop,Fiersa besari,Garis waktu,2016
Sedih,psychedelic rock,Pink Floyd,Breathe (in the air),1973
Sedih,R&B,Isyana,Tetap dalam jiwa,2015
Netral,Koplo,Denny Caknan,Cundamani,2023
Sedih,Pop,Raissa Anggiani,Itu Aku,2023
Bersemangat,Pop,Chase Atlantic,Falling,2016
Sedih,Pop,Joji,Glimpse Of Us - Joji.,2022
Bahagia,Pop,Nicky Youre & Dazy,Sunroof,2022
Bersemangat,Pop,Sheila on Seven,Seberapa Pantas,2002
Bahagia,Pop,Taylor Swift,August,2020
Bahagia,Pop,the upstairs,matraman,2004
Netral,Pop,Lyodra,Sang Dewi,2022
Sedih,Pop,Tulus,Jatuh Suka,2022
Marah,70' punk,the jansen,hal yang wajar di umuran kita sekarang,2023
Bahagia,Pop,Maroon 5,Won't Go Home Without You,2007
Netral,Pop Punk,the jansen,kau pemeran utama,2022
Bersemangat,britpop,rumahsakit,kuning,2012
Marah,Rock,Linkin Park,Numb,2003
Bersemangat,Pop,Avicii,The Nights,2014
Sedih,Pop,Nadin Amizah,Mendarah,2020
Sedih,Indie,Putri Ariani,Mimpi,2023
Bersemangat,Pop,inul,bedagang,1995
Bersemangat,Rap,BMTH,Strangers,2022
Sedih,Pop,JKT48,River,2013
Bersemangat,Rock,the smiths,please please please let me get what i want,1984
Netral,Indie,Tulus,Bunga Tidur,2014
Bersemangat,Pop,Selena Gomez,Who Says,2011
Bersemangat,Pop,Tulus,Gajah,2014
Sedih,Pop,Judika,Bagaimana kalau aku tidak baik-baik saja,2021
Bersemangat,Kpop,BTS,Answer: Love Myself,2018
Sedih,Pop Punk,Hindia,Rumah ke rumah,2019
Bersemangat,Rock,A7x,Burried alive,2010
Netral,Rock,Gerard Way,I Don't Love You,2006
Sedih,Classical,Panji Sakti,Fragmen Perahu,2022
Netral,Pop,Kiana Ledé,Wicked Games,2018
Bersemangat,Metal,I Prevail,Bow Down,2019
Bersemangat,Dangdut Jawa,Guyon waton,Tresno liyane,2020
Bersemangat,Reggae,Steven Coconuttreez,Lagu Santai,2008
Bersemangat,Pop Punk,Rumah Sakit,Kuning,2012
Netral,Pop,Maher Zein,Masya Allah,2016
Netral,Indie,Amigdala,Ku Kira Kau Rumah,2018
Netral,Pop,Idgitaf,Satu satu,2022
Bersemangat,Pop,Coldplay,Adventure of a lifetime,2015
Bersemangat,Rock,Noah,Walau Habis Terang,2014
Bahagia,R&B,Taylor swift,Lover,2019
Netral,Pop,Nadin Amizah,Rayuan perempuan gila,2023
Netral,Pop,Adele,Easy On Me,2021
Netral,Pop,Fiersa Besari,Garis terdepan,2015
Bersemangat,Pop Punk,Closehead,Heart of pop,2008
Bersemangat,Jazz,Ardhito Pranomo,Can't stop loving you,2017
Netral,Pop,Tiara Andini,Tega,2023
Bersemangat,R&B,Hindia,Cincin,2023
