Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Bersemangat,Pop,Tv girl,lover rock,2014,spotify:track:6dBUzqjtbnIa1TwYbyw5CM
Bersemangat,Rap,Eminem,Godzilla,2020,spotify:track:7FIWs0pqAYbP91WWM0vlTQ
Bersemangat,Rock,the sigit,all the time,2006,spotify:track:60zomg1pGnaSrapCzO6aPG
Bersemangat,Pop,Sheila on7,Anugerah Terindah Yang Pernah Kumiliki,1999,spotify:track:41OCQS2Mul3MluLUUsfadr
Bersemangat,Pop,Efek Rumah Kaca,Balerina,2008,spotify:track:04Opv95YdaTL2OU4tooVyQ
Sedih,Pop,Budi doremi,Mesin waktu,2021,spotify:track:1MgEuKnMKzbODJ5Ez94I64
Bersemangat,Kpop,BTS,Permission to Dance,2021,spotify:track:3XYRV7ZSHqIRDG87DKTtry
Netral,Pop,Vedo,You Got It,2020,spotify:track:4lsHZ92XCFOQfzJFBTluk8
Bersemangat,Metal,Bring Me The Horizon,Drown,2015,spotify:track:6o39Ln9118FKTMbM4BvcEy
Bersemangat,Reggae,Santana,Corazon Espinado,1999,spotify:track:2WoqgtWEBbbBKMDN6Becs7
Netral,Pop,Tiara andini,Cintanya aku,2021,spotify:track:53fKDMfQhWMSw7QKVDOTBP
Netral,Indie,Nadin Amizah,Rayuan Perempuan Gila,2023,spotify:track:1nYdkPCbHdYi4w7s2L6SHA
Netral,Pop,Ghea indrawari,Jiwa yang bersedih,2023,spotify:track:6XsFgTG4dY768oIB4Dmeu0
Bersemangat,Pop,Coldplay,Up&Up,2015,spotify:track:31L9yLXSj6LpCFupyMV6CR
Bersemangat,Rock,Muse,Hysteria,2004,spotify:track:7xyYsOvq5Ec3P4fr6mM9fD
Bahagia,R&B,Taylor swift,Paper Rings,2019,spotify:track:4y5bvROuBDPr5fuwXbIBZR
Netral,Pop,Tulus,Gajah,2014,spotify:track:7vZTvo2aJ6wHKCGjwjdWIf
Netral,Pop,Feby Putri,Rantau,2022,spotify:track:1K2bNJgWU7cGRIAVOyOyzk
Bersemangat,Pop Punk,Neck Deep,Motion Sickness,2017,spotify:track:2JcQF1cSeyFx34F8ItVTRN
Bersemangat,Jazz,michael buble,Me and Mrs. Jones,2007,spotify:track:30cwzvmxhBPdlD1g9efF0k
Netral,Pop,EXO,Growl,2013,spotify:track:4pi0Elz7B7cLfw37J3bYm9
Bersemangat,R&B,Loreen,Tattoo,2023,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6
Bahagia,Classical,Mahalini,Sial,2023,spotify:track:6O0WEM0QNEhqpU50BKui7o
Bahagia,Pop,Nadhif Basalamah,Penjaga hati,2023,spotify:track:7F4tV8SiUy6itZTdAzdafO
Sedih,psychedelic rock,Pink Floyd,the great gig in the sky,1973,spotify:track:2TjdnqlpwOjhijHCwHCP2d
Sedih,R&B,Yura yunita,Cinta dan rahasia,2014,spotify:track:4HXUMRdT6s6Am6YHcWmuib
Netral,Koplo,Happy Asmara,Nemen,2023,spotify:track:4fC0h0he0bsB43Icz9CbR9
Sedih,Pop,Misellia,Akhir Tak Bahagia,2021,spotify:track:0BYoWATcndOBcsCfKdTKRx
Bersemangat,Pop,Taylor Swift,Style,2014,spotify:track:0ug5NqcwcFR2xrfTkc7k8e
Sedih,Pop,Olivia Rodrigo,Happier,2021,spotify:track:2tGvwE8GcFKwNdAXMnlbfl
Bahagia,Pop,Demi Lovato,Heart Attack,2013,spotify:track:1V6gIisPpYqgFeWbMLI0bA
Bersemangat,Pop,Wali,Nenekku Pahlawanku,2011,spotify:track:2ALQHMFnSjKzRhGwXVSfHD
Bahagia,Pop,Nadin Amizah,Sorai,2019,spotify:track:3ymuBMTviroWLuf1jMsMVf
Bahagia,Pop,sleep shelter,when you come around,2022,spotify:track:5xDgTBQkArkOPwIAN1HWqZ
Netral,Pop,Tulus,Hati-hati di jalan,2022,spotify:track:2hHeGD57S0BcopfVcmehdl
Sedih,Pop,The Adams,Timur,2019,spotify:track:2bEuh25NMtUEQGu6VqohPu
Marah,70' punk,dongker,luka di pelupuk mata,2023,spotify:track:4z8VogikJGEwY3MSMAwBJg
Bahagia,Pop,Grrrl Gang,Love Song,2021,spotify:track:24GzZhuO5eYkG2lypqtoe9
